stage,phase,epoch,loss,runtime,printed_cer,printed_wer,hw_cer,hw_wer,phase_order,global_epoch,loss_smooth
stage1,1a,0,1.2328,7636.0,1.3397,0.992,1.0696,0.9988,0,1,1.2328
stage1,1a,1,0.2394,7597.0,,,,,0,2,0.7361
stage1,1a,2,0.1749,7586.0,1.0888,0.9937,0.9473,0.9982,0,3,0.20715
stage1,1a,3,0.1443,7619.0,,,,,0,4,0.15960000000000002
stage1,1a,4,0.1228,7569.0,1.7824,1.1102,1.3754,1.0504,0,5,0.13355
stage1,1b,5,0.2778,4014.0,,,,,1,6,0.20029999999999998
stage1,1b,6,0.1485,4008.0,1.009,0.8878,0.8353,0.9522,1,7,0.21315
stage1,1b,7,0.1203,4105.0,,,,,1,8,0.1344
stage1,1b,8,0.1016,3992.0,0.8691,0.879,0.7565,0.9618,1,9,0.11095
stage1,1b,9,0.0875,4048.0,,,,,1,10,0.09455
stage1,1b,10,0.0735,3976.0,0.8543,0.872,0.8419,0.946,1,11,0.08049999999999999
stage1,1b,11,0.0606,4031.0,,,,,1,12,0.06705
stage1,1b,12,0.0498,3983.0,0.7491,0.8643,0.7328,0.9239,1,13,0.0552
stage1,1b,13,0.0412,4002.0,,,,,1,14,0.0455
stage1,1b,14,0.034,3996.0,0.7542,0.855,0.731,0.9205,1,15,0.0376
stage1,1c,15,0.0542,2787.0,,,,,2,16,0.0441
stage1,1c,16,0.0365,2826.0,0.6594,0.7983,0.6516,0.8685,2,17,0.04535
stage1,1c,17,0.0306,2915.0,,,,,2,18,0.033549999999999996
stage1,1c,18,0.0233,2835.0,0.6461,0.7953,0.6422,0.8711,2,19,0.02695
stage1,1c,19,0.0277,2830.0,,,,,2,20,0.025500000000000002
stage2a,2a,0,0.4772,,0.1417,0.1292,0.4243,0.6643,3,21,0.25245
stage2a,2a,1,0.1089,2858.0,0.1261,0.0865,0.4375,0.6697,3,22,0.29305000000000003
stage2a,2a,2,0.0742,2909.0,0.0766,0.0743,0.4463,0.7123,3,23,0.09154999999999999
stage2a,2a,3,0.062,2884.0,0.0673,0.0665,0.4391,0.7327,3,24,0.0681
stage2a,2a,4,0.0505,2877.0,0.045,0.0548,0.3915,0.6862,3,25,0.05625
stage2a,2a,5,0.0443,2854.0,0.052,0.0575,0.4357,0.7535,3,26,0.0474
stage2a,2a,6,0.0375,2767.0,0.0288,0.0504,0.4058,0.7263,3,27,0.0409
stage2a,2a,7,0.035,2843.0,0.0278,0.0465,0.3712,0.6709,3,28,0.036250000000000004
stage2a,2a,8,0.0286,2841.0,0.0229,0.0453,0.3951,0.6945,3,29,0.0318
stage2a,2a,9,0.0247,2812.0,0.0214,0.0422,0.375,0.692,3,30,0.02665
stage2a,2a,10,0.0217,,0.019,0.0412,0.3691,0.6706,3,31,0.0232
stage2a,2a,11,0.0156,,0.0206,0.0431,0.3691,0.669,3,32,0.01865
stage2b,2b,0,0.5945,,0.0193,0.0432,0.3271,0.583,4,33,0.30505
stage2b,2b,1,0.4081,1254.0,0.0202,0.0477,0.2798,0.4772,4,34,0.5013000000000001
stage2b,2b,2,0.3085,1419.0,0.0217,0.0537,0.2356,0.4071,4,35,0.3583
stage2b,2b,3,0.2571,1407.0,0.0226,0.0554,0.2107,0.3654,4,36,0.2828
stage2b,2b,4,0.2274,1362.0,0.0234,0.0578,0.1911,0.3377,4,37,0.24225
stage2b,2b,5,0.2086,1415.0,0.0226,0.0582,0.1826,0.3206,4,38,0.218
stage2b,2b,6,0.1935,1429.0,0.0228,0.057,0.1826,0.3068,4,39,0.20105
stage2b,2b,7,0.183,1249.0,0.0231,0.0556,0.1769,0.304,4,40,0.18825
stage2b,2b,8,0.1738,1421.0,0.0212,0.0546,0.171,0.2917,4,41,0.1784
stage2b,2b,9,0.1663,1361.0,0.0219,0.0544,0.1643,0.2848,4,42,0.17005
stage2b,2b,10,0.1594,1366.0,0.0218,0.0548,0.1534,0.2772,4,43,0.16285
stage2b,2b,11,0.1549,1354.0,0.021,0.0541,0.153,0.2724,4,44,0.15715
stage2b,2b,12,0.151,,0.0217,0.0532,0.1467,0.2677,4,45,0.15295
stage2b,2b,13,0.1453,1425.0,0.022,0.0543,0.1543,0.269,4,46,0.14815
stage2b,2b,14,0.1404,1284.0,0.0212,0.0532,0.144,0.2612,4,47,0.14285
stage2b,2b,15,0.1379,1337.0,0.022,0.0535,0.1453,0.2633,4,48,0.13915
stage2b,2b,16,0.1343,1267.0,0.022,0.0525,0.1469,0.2653,4,49,0.1361
